No, norma, norm_delta_time, elapsed_time
0, 44.9576, 0.000371594, 0
1, 0.686036, 0.000371594, 0.000371594
2, 0.686036, 0.000371594, 0.000371594
3, 0.668794, 0.000372, 0.000743594
4, 0.653326, 0.000372449, 0.00111604
5, 0.639405, 0.000372935, 0.00148898
6, 0.626774, 0.000373451, 0.00186243
7, 0.61519, 0.000373991, 0.00223642
8, 0.60446, 0.000374548, 0.00261097
9, 0.594454, 0.000375117, 0.00298609
10, 0.585091, 0.000375695, 0.00336178
11, 0.576321, 0.00037628, 0.00373806
12, 0.567632, 0.000376546, 0.00411461
13, 0.559118, 0.00037656, 0.00449117
14, 0.551227, 0.000376641, 0.00486781
15, 0.543906, 0.000376781, 0.00524459
16, 0.537099, 0.000376975, 0.00562156
17, 0.530746, 0.000377215, 0.00599878
18, 0.524791, 0.000377495, 0.00637627
19, 0.519186, 0.00037781, 0.00675408
20, 0.513891, 0.000378156, 0.00713224
21, 0.508875, 0.000378531, 0.00751077
22, 0.504114, 0.00037893, 0.0078897
23, 0.499587, 0.000379352, 0.00826905
24, 0.495277, 0.000379794, 0.00864884
25, 0.49117, 0.000380255, 0.0090291
26, 0.487248, 0.000380734, 0.00940983
27, 0.4835, 0.000381229, 0.00979106
28, 0.47991, 0.000381739, 0.0101728
29, 0.476467, 0.000382263, 0.0105551
30, 0.47316, 0.000382801, 0.0109379
31, 0.46998, 0.00038335, 0.0113212
32, 0.466919, 0.000383911, 0.0117051
33, 0.46397, 0.000384482, 0.0120896
34, 0.461126, 0.000385064, 0.0124747
35, 0.457964, 0.0003853, 0.01286
36, 0.454919, 0.000385557, 0.0132455
37, 0.451993, 0.000385842, 0.0136314
38, 0.449179, 0.000386153, 0.0140175
39, 0.446469, 0.000386489, 0.014404
40, 0.443856, 0.000386848, 0.0147909
41, 0.441335, 0.000387227, 0.0151781
42, 0.4389, 0.000387626, 0.0155657
43, 0.436547, 0.000388044, 0.0159538
44, 0.434271, 0.000388478, 0.0163422
45, 0.432067, 0.000388928, 0.0167312
46, 0.429932, 0.000389393, 0.0171206
47, 0.427764, 0.000389784, 0.0175103
48, 0.425469, 0.000390011, 0.0179004
49, 0.423251, 0.000390265, 0.0182906
50, 0.421106, 0.000390542, 0.0186812
51, 0.419029, 0.000390842, 0.019072
52, 0.417018, 0.000391163, 0.0194632
53, 0.415068, 0.000391503, 0.0198547
54, 0.413177, 0.000391861, 0.0202465
55, 0.41134, 0.000392237, 0.0206388
56, 0.409556, 0.000392629, 0.0210314
