No, norma, norm_delta_time, elapsed_time
131, 0.682536, 0.00359546, 0.448133
132, 0.677353, 0.0035833, 0.451717
133, 0.671659, 0.003568, 0.455285
134, 0.666597, 0.00355571, 0.45884
135, 0.661568, 0.00354326, 0.462384
136, 0.656595, 0.00353083, 0.465914
137, 0.652159, 0.00352108, 0.469435
138, 0.647281, 0.00350872, 0.472944
139, 0.643005, 0.00349949, 0.476444
140, 0.638571, 0.00348924, 0.479933
141, 0.634378, 0.0034802, 0.483413
142, 0.630399, 0.00347226, 0.486885
143, 0.626305, 0.00346358, 0.490349
144, 0.622718, 0.00345765, 0.493807
145, 0.618744, 0.00344949, 0.497256
146, 0.615356, 0.00344453, 0.500701
147, 0.611663, 0.00343777, 0.504138
148, 0.608402, 0.00343337, 0.507572
149, 0.605041, 0.00342831, 0.511
150, 0.601922, 0.00342454, 0.514425
151, 0.598853, 0.00342097, 0.517846
152, 0.595884, 0.00341787, 0.521263
153, 0.593072, 0.0034156, 0.524679
154, 0.590249, 0.00341319, 0.528092
155, 0.587659, 0.00341207, 0.531504
156, 0.584972, 0.00341034, 0.534915
157, 0.582568, 0.00341025, 0.538325
158, 0.579996, 0.00340915, 0.541734
159, 0.577746, 0.00340997, 0.545144
160, 0.575266, 0.00340946, 0.548553
161, 0.573139, 0.00341111, 0.551965
162, 0.570727, 0.00341113, 0.555376
163, 0.568655, 0.00341328, 0.558789
164, 0.566335, 0.00341402, 0.562203
165, 0.564275, 0.00341645, 0.565619
166, 0.562054, 0.00341801, 0.569037
167, 0.559998, 0.00342067, 0.572458
168, 0.557867, 0.00342297, 0.575881
169, 0.55581, 0.00342581, 0.579307
170, 0.553764, 0.00342879, 0.582736
171, 0.551708, 0.00343176, 0.586167
172, 0.549748, 0.00343537, 0.589603
173, 0.547695, 0.00343841, 0.593041
174, 0.545825, 0.0034426, 0.596484
175, 0.543779, 0.00344565, 0.59993
176, 0.541916, 0.00344982, 0.603379
177, 0.539966, 0.00345338, 0.606833
178, 0.538094, 0.00345736, 0.61029
179, 0.536257, 0.00346148, 0.613752
180, 0.534375, 0.0034652, 0.617217
181, 0.532631, 0.00346972, 0.620686
182, 0.530753, 0.00347325, 0.62416
183, 0.528975, 0.00347732, 0.627637
184, 0.527217, 0.0034814, 0.631118
185, 0.525399, 0.00348497, 0.634603
186, 0.523673, 0.00348903, 0.638092
187, 0.52189, 0.0034926, 0.641585
188, 0.5201, 0.003496, 0.645081
189, 0.518382, 0.00349979, 0.648581
190, 0.516577, 0.00350287, 0.652084
191, 0.514779, 0.00350588, 0.65559
192, 0.513042, 0.00350921, 0.659099
193, 0.511221, 0.00351184, 0.662611
194, 0.509399, 0.00351434, 0.666125
195, 0.507636, 0.00351713, 0.669642
196, 0.505809, 0.00351934, 0.673161
197, 0.503966, 0.0035213, 0.676683
198, 0.502195, 0.00352361, 0.680206
199, 0.500372, 0.0035254, 0.683732
200, 0.498535, 0.00352691, 0.687259
201, 0.496786, 0.00352885, 0.690788
202, 0.494982, 0.0035302, 0.694318
203, 0.493187, 0.0035314, 0.697849
204, 0.4915, 0.00353314, 0.701382
205, 0.489724, 0.00353401, 0.704916
206, 0.488009, 0.00353507, 0.708451
207, 0.486409, 0.0035367, 0.711988
208, 0.484681, 0.00353713, 0.715525
209, 0.483078, 0.0035382, 0.719063
210, 0.481523, 0.00353934, 0.722603
211, 0.479922, 0.00353983, 0.726143
212, 0.478466, 0.00354105, 0.729684
213, 0.47698, 0.00354165, 0.733225
214, 0.475573, 0.00354234, 0.736768
215, 0.474349, 0.00354368, 0.740311
216, 0.473114, 0.00354389, 0.743855
217, 0.4722, 0.00354488, 0.7474
