No, norma, norm_delta_time, elapsed_time
132, 1.14753, 0.00332561, 0.435056
133, 1.13925, 0.00331114, 0.438368
134, 1.13121, 0.00329857, 0.441666
135, 1.12568, 0.00329104, 0.444957
136, 1.11708, 0.00327668, 0.448234
137, 1.11163, 0.00327079, 0.451505
138, 1.10451, 0.0032593, 0.454764
139, 1.09786, 0.00325155, 0.458015
140, 1.09271, 0.00324595, 0.461261
141, 1.08594, 0.00323732, 0.464499
142, 1.08163, 0.00323618, 0.467735
143, 1.07524, 0.00322739, 0.470962
144, 1.07043, 0.00322607, 0.474188
145, 1.06512, 0.00322117, 0.47741
146, 1.0603, 0.0032191, 0.480629
147, 1.05563, 0.00321808, 0.483847
148, 1.05104, 0.00321564, 0.487062
149, 1.0471, 0.00321763, 0.49028
150, 1.04226, 0.00321505, 0.493495
151, 1.03896, 0.00321796, 0.496713
152, 1.03411, 0.00321679, 0.49993
153, 1.03082, 0.00321871, 0.503148
154, 1.02682, 0.00322041, 0.506369
155, 1.0231, 0.00322155, 0.50959
156, 1.02026, 0.00322553, 0.512816
157, 1.01602, 0.00322604, 0.516042
158, 1.01354, 0.00323028, 0.519272
159, 1.0097, 0.00323186, 0.522504
160, 1.00664, 0.00323489, 0.525739
161, 1.00392, 0.00323876, 0.528978
162, 1.00026, 0.00324087, 0.532219
163, 0.998196, 0.00324641, 0.535465
164, 0.994447, 0.00324802, 0.538713
165, 0.991691, 0.00325237, 0.541965
166, 0.988889, 0.00325623, 0.545222
167, 0.98551, 0.00325976, 0.548481
168, 0.983245, 0.00326539, 0.551747
169, 0.979724, 0.00326839, 0.555015
170, 0.977172, 0.00327438, 0.55829
171, 0.974097, 0.00327808, 0.561568
172, 0.970972, 0.00328324, 0.564851
173, 0.968389, 0.00328864, 0.56814
174, 0.965161, 0.0032931, 0.571433
175, 0.962673, 0.00329983, 0.574733
176, 0.959578, 0.00330364, 0.578036
177, 0.956652, 0.00330948, 0.581346
178, 0.953991, 0.00331453, 0.58466
179, 0.950922, 0.00331909, 0.587979
180, 0.948452, 0.00332552, 0.591305
181, 0.9454, 0.00332879, 0.594634
182, 0.942341, 0.00333339, 0.597967
183, 0.939826, 0.00333834, 0.601305
184, 0.936569, 0.00334118, 0.604646
185, 0.933703, 0.00334553, 0.607992
186, 0.930907, 0.00334885, 0.611341
187, 0.927478, 0.00335117, 0.614692
188, 0.924955, 0.0033555, 0.618048
189, 0.921591, 0.00335693, 0.621404
190, 0.918304, 0.00335913, 0.624764
191, 0.915773, 0.00336276, 0.628126
192, 0.912077, 0.00336324, 0.63149
193, 0.909221, 0.00336599, 0.634856
194, 0.906152, 0.00336776, 0.638223
195, 0.902663, 0.00336875, 0.641592
196, 0.9003, 0.00337262, 0.644965
197, 0.896556, 0.00337223, 0.648337
198, 0.89357, 0.00337431, 0.651711
