No, norma, norm_delta_time, elapsed_time
0, 49.1306, 0.000185797, 0
1, 0.686092, 0.000185797, 0.000185797
2, 0.686092, 0.000185797, 0.000185797
3, 0.668796, 0.000186001, 0.000371798
4, 0.653278, 0.000186226, 0.000558025
5, 0.639314, 0.00018647, 0.000744495
6, 0.626645, 0.000186729, 0.000931223
7, 0.615028, 0.000186999, 0.00111822
8, 0.604273, 0.000187278, 0.0013055
9, 0.594245, 0.000187563, 0.00149306
10, 0.584865, 0.000187853, 0.00168092
11, 0.576082, 0.000188145, 0.00186906
12, 0.567436, 0.000188297, 0.00205736
13, 0.558914, 0.000188305, 0.00224566
14, 0.551015, 0.000188347, 0.00243401
15, 0.543686, 0.000188418, 0.00262243
16, 0.536872, 0.000188515, 0.00281094
17, 0.530513, 0.000188636, 0.00299958
18, 0.524551, 0.000188776, 0.00318836
19, 0.518938, 0.000188934, 0.00337729
20, 0.513636, 0.000189108, 0.0035664
21, 0.508614, 0.000189295, 0.00375569
22, 0.503846, 0.000189495, 0.00394519
23, 0.499314, 0.000189706, 0.00413489
24, 0.494999, 0.000189927, 0.00432482
25, 0.490887, 0.000190158, 0.00451498
26, 0.486961, 0.000190397, 0.00470538
27, 0.483207, 0.000190645, 0.00489602
28, 0.479613, 0.0001909, 0.00508692
29, 0.476166, 0.000191162, 0.00527808
30, 0.472854, 0.000191431, 0.00546952
31, 0.46967, 0.000191706, 0.00566122
32, 0.466605, 0.000191986, 0.00585321
33, 0.463651, 0.000192272, 0.00604548
34, 0.460803, 0.000192562, 0.00623804
35, 0.45764, 0.000192681, 0.00643072
36, 0.454592, 0.00019281, 0.00662353
37, 0.451664, 0.000192953, 0.00681648
38, 0.448848, 0.000193109, 0.00700959
39, 0.446135, 0.000193277, 0.00720287
40, 0.44352, 0.000193457, 0.00739633
41, 0.440997, 0.000193647, 0.00758997
42, 0.43856, 0.000193847, 0.00778382
43, 0.436204, 0.000194056, 0.00797788
44, 0.433926, 0.000194273, 0.00817215
45, 0.43172, 0.000194498, 0.00836665
46, 0.429582, 0.000194731, 0.00856138
47, 0.427387, 0.000194915, 0.00875629
48, 0.425091, 0.000195029, 0.00895132
49, 0.422872, 0.000195156, 0.00914648
50, 0.420726, 0.000195295, 0.00934177
51, 0.418649, 0.000195446, 0.00953722
52, 0.416637, 0.000195607, 0.00973283
53, 0.414687, 0.000195777, 0.0099286
54, 0.412794, 0.000195957, 0.0101246
55, 0.410957, 0.000196145, 0.0103207
56, 0.409172, 0.000196342, 0.010517
57, 0.407436, 0.000196546, 0.0107136
58, 0.405747, 0.000196757, 0.0109104
59, 0.404073, 0.00019696, 0.0111073
60, 0.402258, 0.000197079, 0.0113044
61, 0.400496, 0.000197209, 0.0115016
62, 0.398786, 0.000197349, 0.0116989
63, 0.397125, 0.000197499, 0.0118964
64, 0.395509, 0.000197657, 0.0120941
65, 0.393937, 0.000197824, 0.0122919
66, 0.392406, 0.000198, 0.0124899
67, 0.390913, 0.000198182, 0.0126881
68, 0.389459, 0.000198372, 0.0128865
69, 0.38804, 0.000198569, 0.013085
70, 0.386655, 0.000198771, 0.0132838
71, 0.385233, 0.000198945, 0.0134828
72, 0.383748, 0.000199073, 0.0136818
73, 0.382302, 0.000199211, 0.013881
74, 0.380894, 0.000199357, 0.0140804
75, 0.379521, 0.000199512, 0.0142799
76, 0.378182, 0.000199675, 0.0144796
77, 0.376875, 0.000199844, 0.0146794
78, 0.375599, 0.000200021, 0.0148795
79, 0.374352, 0.000200204, 0.0150797
80, 0.373134, 0.000200393, 0.0152801
81, 0.37192, 0.000200576, 0.0154806
82, 0.370612, 0.000200699, 0.0156813
83, 0.369337, 0.000200831, 0.0158822
84, 0.368093, 0.000200972, 0.0160831
85, 0.36688, 0.00020112, 0.0162843
86, 0.365695, 0.000201276, 0.0164855
87, 0.364537, 0.000201439, 0.016687
88, 0.363405, 0.000201608, 0.0168886
89, 0.362297, 0.000201784, 0.0170904
90, 0.361214, 0.000201965, 0.0172923
91, 0.36002, 0.000202078, 0.0174944
92, 0.358856, 0.000202198, 0.0176966
93, 0.35772, 0.000202328, 0.0178989
94, 0.356611, 0.000202466, 0.0181014
95, 0.355528, 0.000202611, 0.018304
96, 0.35447, 0.000202764, 0.0185068
97, 0.353435, 0.000202923, 0.0187097
98, 0.352422, 0.000203089, 0.0189128
99, 0.351403, 0.000203245, 0.019116
100, 0.350301, 0.000203346, 0.0193194
101, 0.349228, 0.000203457, 0.0195228
102, 0.348181, 0.000203577, 0.0197264
103, 0.34716, 0.000203705, 0.0199301
104, 0.346163, 0.000203842, 0.020134
105, 0.345189, 0.000203986, 0.0203379
106, 0.344236, 0.000204137, 0.0205421
107, 0.343304, 0.000204295, 0.0207464
108, 0.342341, 0.000204429, 0.0209508
109, 0.341316, 0.00020452, 0.0211553
110, 0.340318, 0.000204621, 0.0213599
111, 0.339345, 0.000204731, 0.0215647
112, 0.338397, 0.000204851, 0.0217695
113, 0.337472, 0.000204979, 0.0219745
114, 0.336568, 0.000205115, 0.0221796
115, 0.335684, 0.000205259, 0.0223849
116, 0.33482, 0.000205409, 0.0225903
117, 0.333932, 0.00020554, 0.0227958
118, 0.332969, 0.000205619, 0.0230014
119, 0.332032, 0.000205709, 0.0232072
120, 0.331121, 0.00020581, 0.023413
121, 0.330233, 0.00020592, 0.0236189
122, 0.329367, 0.000206039, 0.0238249
123, 0.328522, 0.000206167, 0.0240311
124, 0.327697, 0.000206303, 0.0242374
125, 0.32689, 0.000206446, 0.0244438
