No, norma, norm_delta_time, elapsed_time
0, 49.1306, 0.00130058, 0
1, 4.92427, 0.00130058, 0.00130058
2, 4.92427, 0.00130058, 0.00130058
3, 5.06388, 0.00130601, 0.00260659
4, 4.9729, 0.00130814, 0.00391473
5, 4.99703, 0.00132429, 0.00523902
6, 5.20582, 0.00133595, 0.00657497
7, 5.18591, 0.00134444, 0.00791941
8, 4.85204, 0.00135421, 0.00927362
9, 4.65734, 0.00136237, 0.010636
10, 4.80743, 0.00137182, 0.0120078
11, 4.79817, 0.00138051, 0.0133883
12, 4.45098, 0.00138421, 0.0147725
13, 4.22147, 0.00139013, 0.0161627
14, 4.32349, 0.00139481, 0.0175575
15, 4.3345, 0.00140154, 0.018959
16, 4.11478, 0.00140864, 0.0203676
17, 4.02967, 0.00141276, 0.0217804
18, 4.1221, 0.00141682, 0.0231972
19, 4.00727, 0.00141737, 0.0246146
20, 3.74105, 0.00141821, 0.0260328
21, 3.69629, 0.00142015, 0.0274529
22, 3.76761, 0.00142477, 0.0288777
23, 3.68176, 0.00143191, 0.0303096
24, 3.60853, 0.00144208, 0.0317517
25, 3.64651, 0.00144262, 0.0331943
26, 3.55997, 0.00144164, 0.034636
27, 3.33742, 0.0014415, 0.0360775
28, 3.27893, 0.00144334, 0.0375208
29, 3.33853, 0.00144837, 0.0389692
30, 3.30243, 0.00145707, 0.0404262
31, 3.27215, 0.00146565, 0.0418919
32, 3.27821, 0.00146468, 0.0433566
33, 3.16053, 0.00146391, 0.0448205
34, 2.99628, 0.00146469, 0.0462851
35, 2.99355, 0.00146829, 0.0477534
36, 3.0288, 0.00147582, 0.0492293
37, 2.99873, 0.0014879, 0.0507172
38, 2.98166, 0.00148719, 0.0522044
39, 2.9506, 0.00148669, 0.053691
40, 2.82143, 0.00148719, 0.0551782
41, 2.7503, 0.0014901, 0.0566683
42, 2.78335, 0.0014967, 0.058165
43, 2.77762, 0.00150824, 0.0596733
44, 2.73819, 0.00150899, 0.0611823
45, 2.73045, 0.00150885, 0.0626911
46, 2.6612, 0.00150945, 0.0642006
47, 2.57769, 0.00151205, 0.0657126
48, 2.58536, 0.00151806, 0.0672307
49, 2.59169, 0.00152749, 0.0687582
50, 2.54804, 0.00152977, 0.0702879
51, 2.53614, 0.00152986, 0.0718178
52, 2.50511, 0.00153065, 0.0733484
53, 2.43609, 0.00153317, 0.0748816
54, 2.42568, 0.00153887, 0.0764205
55, 2.43107, 0.00154491, 0.0779654
56, 2.39065, 0.00154753, 0.0795129
57, 2.37353, 0.00154963, 0.0810625
58, 2.35974, 0.00155059, 0.0826131
59, 2.30853, 0.00155317, 0.0841663
60, 2.29093, 0.00155883, 0.0857251
61, 2.2919, 0.00156222, 0.0872874
62, 2.2569, 0.00156489, 0.0888523
63, 2.23729, 0.00156822, 0.0904205
64, 2.22952, 0.00156935, 0.0919898
65, 2.19135, 0.00157212, 0.0935619
66, 2.1731, 0.00157798, 0.0951399
67, 2.1698, 0.00157936, 0.0967193
68, 2.1399, 0.00158225, 0.0983015
69, 2.12032, 0.00158583, 0.0998874
70, 2.11417, 0.00158717, 0.101475
71, 2.08417, 0.00159024, 0.103065
72, 2.06605, 0.00159477, 0.10466
73, 2.06133, 0.00159623, 0.106256
74, 2.03552, 0.00159948, 0.107855
75, 2.01753, 0.00160266, 0.109458
76, 2.01158, 0.00160427, 0.111062
77, 1.98661, 0.00160777, 0.11267
78, 1.97005, 0.00161102, 0.114281
79, 1.96446, 0.00161277, 0.115894
80, 1.94181, 0.00161654, 0.11751
81, 1.92602, 0.00161888, 0.119129
82, 1.91976, 0.00162082, 0.12075
83, 1.89823, 0.0016249, 0.122375
84, 1.88372, 0.00162686, 0.124002
85, 1.87734, 0.001629, 0.125631
86, 1.85746, 0.00163343, 0.127264
87, 1.84384, 0.0016346, 0.128899
88, 1.83693, 0.00163698, 0.130536
89, 1.81757, 0.0016411, 0.132177
90, 1.80567, 0.00164233, 0.133819
91, 1.79839, 0.00164497, 0.135464
92, 1.77954, 0.00164853, 0.137113
93, 1.76933, 0.00164993, 0.138763
94, 1.76152, 0.00165287, 0.140415
95, 1.74325, 0.0016559, 0.142071
96, 1.73459, 0.00165749, 0.143729
97, 1.7263, 0.00166077, 0.14539
98, 1.70871, 0.00166316, 0.147053
99, 1.70139, 0.00166497, 0.148718
100, 1.69261, 0.00166863, 0.150386
101, 1.6758, 0.00167036, 0.152057
102, 1.6696, 0.00167241, 0.153729
103, 1.66032, 0.0016764, 0.155406
104, 1.64447, 0.00167748, 0.157083
105, 1.6391, 0.00167981, 0.158763
106, 1.62858, 0.00168329, 0.160446
107, 1.61452, 0.00168456, 0.162131
108, 1.60972, 0.0016872, 0.163818
109, 1.59813, 0.00169011, 0.165508
110, 1.58593, 0.00169158, 0.1672
111, 1.58141, 0.00169458, 0.168894
112, 1.56896, 0.00169686, 0.170591
113, 1.55862, 0.00169857, 0.17229
114, 1.55412, 0.00170197, 0.173992
115, 1.54106, 0.00170357, 0.175695
116, 1.53248, 0.00170554, 0.177401
117, 1.52762, 0.00170917, 0.17911
118, 1.5144, 0.00171022, 0.18082
119, 1.50741, 0.0017125, 0.182533
120, 1.50136, 0.00171559, 0.184248
121, 1.4889, 0.00171685, 0.185965
122, 1.48325, 0.00171946, 0.187685
123, 1.47594, 0.00172196, 0.189406
124, 1.46453, 0.00172345, 0.19113
125, 1.45995, 0.00172645, 0.192856
126, 1.45141, 0.00172829, 0.194585
127, 1.44128, 0.00173004, 0.196315
128, 1.43744, 0.00173347, 0.198048
129, 1.42778, 0.00173459, 0.199783
130, 1.41908, 0.00173664, 0.201519
131, 1.415, 0.00173974, 0.203259
132, 1.40502, 0.00174086, 0.205
133, 1.3978, 0.00174325, 0.206743
134, 1.39303, 0.00174577, 0.208489
135, 1.38336, 0.00174713, 0.210236
136, 1.37965, 0.00174989, 0.211986
137, 1.39266, 0.00175178, 0.213738
138, 1.48324, 0.0017534, 0.215491
139, 1.6888, 0.00175666, 0.217248
140, 1.76628, 0.00175806, 0.219006
141, 1.63681, 0.00176352, 0.220769
142, 1.45076, 0.00177245, 0.222542
143, 1.29671, 0.00178511, 0.224327
144, 1.18346, 0.0017957, 0.226123
145, 1.10711, 0.00180909, 0.227932
146, 1.05317, 0.00182007, 0.229752
147, 1.01673, 0.00183371, 0.231586
148, 0.989306, 0.00184482, 0.23343
149, 0.970455, 0.00185886, 0.235289
150, 0.954951, 0.00187001, 0.237159
151, 0.944458, 0.00188416, 0.239043
152, 0.935343, 0.00189574, 0.240939
153, 0.929418, 0.00190958, 0.242849
154, 0.924531, 0.00192208, 0.244771
155, 0.921611, 0.00193569, 0.246707
156, 0.919732, 0.00194906, 0.248656
157, 0.918994, 0.00196255, 0.250618
158, 0.919422, 0.00197674, 0.252595
159, 0.920328, 0.00199018, 0.254585
160, 0.922623, 0.00200513, 0.25659
161, 0.924777, 0.00201862, 0.258609
162, 0.928655, 0.00203427, 0.260643
163, 0.931752, 0.00204788, 0.262691
164, 0.936983, 0.00206418, 0.264755
165, 0.940819, 0.002078, 0.266833
166, 0.947154, 0.0020949, 0.268928
167, 0.951766, 0.00210901, 0.271037
168, 0.958923, 0.00212644, 0.273163
169, 0.964577, 0.00214094, 0.275304
170, 0.972244, 0.00215886, 0.277463
171, 0.97909, 0.00217386, 0.279637
172, 0.986895, 0.0021922, 0.281829
173, 0.994859, 0.00220782, 0.284037
174, 1.00316, 0.00222651, 0.286264
175, 1.01181, 0.00224294, 0.288507
176, 1.0214, 0.00226188, 0.290769
177, 1.0301, 0.00227934, 0.293048
178, 1.03234, 0.00227927, 0.295327
179, 1.0282, 0.00226847, 0.297596
180, 1.02662, 0.0022615, 0.299857
181, 1.02275, 0.00225025, 0.302107
182, 1.01891, 0.00224187, 0.304349
183, 1.01623, 0.0022327, 0.306582
184, 1.01212, 0.00222343, 0.308805
185, 1.00906, 0.00221605, 0.311021
186, 1.00526, 0.00220585, 0.313227
187, 1.00143, 0.00219845, 0.315426
188, 0.997974, 0.00218912, 0.317615
189, 0.993801, 0.00218069, 0.319796
190, 0.989816, 0.00217333, 0.321969
191, 0.986035, 0.00216375, 0.324133
192, 0.981986, 0.0021571, 0.32629
193, 0.977621, 0.00214792, 0.328438
194, 0.973783, 0.00213985, 0.330577
195, 0.96953, 0.00213291, 0.33271
196, 0.965497, 0.00212369, 0.334834
197, 0.961419, 0.00211715, 0.336951
198, 0.956616, 0.00210855, 0.33906
199, 0.952996, 0.00210051, 0.34116
200, 0.948473, 0.00209427, 0.343255
201, 0.943659, 0.00208511, 0.34534
202, 0.940037, 0.00207835, 0.347418
203, 0.934898, 0.00207068, 0.349489
204, 0.930682, 0.00206254, 0.351551
205, 0.927065, 0.00205712, 0.353608
206, 0.921468, 0.00204786, 0.355656
207, 0.917622, 0.00204074, 0.357697
208, 0.913113, 0.00203421, 0.359731
209, 0.908069, 0.00202571, 0.361757
210, 0.904462, 0.00201968, 0.363777
211, 0.899254, 0.00201185, 0.365788
212, 0.894704, 0.00200425, 0.367793
213, 0.891185, 0.00199905, 0.369792
214, 0.885584, 0.00199014, 0.371782
215, 0.881428, 0.00198351, 0.373765
216, 0.877239, 0.00197724, 0.375743
