No, norma, norm_delta_time, elapsed_time
0, 49.1306, 0.00130058, 0
1, 4.23745, 0.00130058, 0.00130058
2, 4.23745, 0.00130058, 0.00130058
3, 3.67433, 0.00131295, 0.00261353
4, 3.35322, 0.00132809, 0.00394162
5, 3.10989, 0.00133449, 0.00527611
6, 2.9305, 0.00134463, 0.00662073
7, 2.78551, 0.00135364, 0.00797437
8, 2.66324, 0.00136106, 0.00933543
9, 2.55848, 0.00136771, 0.0107031
10, 2.47013, 0.00137561, 0.0120787
11, 2.39661, 0.00138597, 0.0134647
12, 2.32808, 0.00139439, 0.0148591
13, 2.26897, 0.00140443, 0.0162635
14, 2.21314, 0.00141302, 0.0176766
15, 2.16201, 0.00142155, 0.0190981
16, 2.11412, 0.00142947, 0.0205276
17, 2.06918, 0.00143694, 0.0219645
18, 2.02635, 0.00144361, 0.0234081
19, 1.9856, 0.00144969, 0.0248578
20, 1.94734, 0.00145568, 0.0263135
21, 1.91154, 0.00146179, 0.0277753
22, 1.877, 0.00146725, 0.0292425
23, 1.84388, 0.00147231, 0.0307148
24, 1.81284, 0.00147764, 0.0321925
25, 1.78349, 0.00148307, 0.0336756
26, 1.75441, 0.0014875, 0.0351631
27, 1.72712, 0.00149229, 0.0366553
28, 1.70161, 0.00149757, 0.0381529
29, 1.67586, 0.00150162, 0.0396545
30, 1.65158, 0.00150601, 0.0411606
31, 1.62887, 0.00151094, 0.0426715
32, 1.60605, 0.0015149, 0.0441864
33, 1.58426, 0.001519, 0.0457054
34, 1.56386, 0.00152367, 0.0472291
35, 1.54339, 0.00152752, 0.0487566
36, 1.52369, 0.0015314, 0.050288
37, 1.50523, 0.00153586, 0.0518239
38, 1.48668, 0.00153958, 0.0533634
39, 1.46875, 0.00154329, 0.0549067
40, 1.45194, 0.0015476, 0.0564543
41, 1.43499, 0.00155118, 0.0580055
42, 1.41858, 0.00155476, 0.0595603
43, 1.40319, 0.00155895, 0.0611192
44, 1.38758, 0.00156237, 0.0626816
45, 1.3725, 0.00156586, 0.0642474
46, 1.35835, 0.00156995, 0.0658174
47, 1.34389, 0.00157321, 0.0673906
48, 1.32997, 0.00157663, 0.0689672
49, 1.31691, 0.00158065, 0.0705479
50, 1.30343, 0.00158373, 0.0721316
51, 1.29053, 0.0015871, 0.0737187
52, 1.27844, 0.00159108, 0.0753098
53, 1.26581, 0.00159398, 0.0769038
54, 1.25383, 0.00159731, 0.0785011
55, 1.24255, 0.00160118, 0.0801023
56, 1.23071, 0.00160396, 0.0817062
57, 1.21955, 0.00160728, 0.0833135
58, 1.20891, 0.00161095, 0.0849245
59, 1.19786, 0.00161372, 0.0865382
60, 1.18744, 0.00161702, 0.0881552
61, 1.17737, 0.00162049, 0.0897757
62, 1.16702, 0.00162326, 0.091399
63, 1.15727, 0.00162656, 0.0930255
64, 1.1477, 0.00162983, 0.0946554
65, 1.13799, 0.0016326, 0.096288
66, 1.12885, 0.00163591, 0.0979239
67, 1.11973, 0.00163897, 0.0995628
68, 1.11061, 0.00164175, 0.101205
69, 1.10203, 0.00164508, 0.10285
70, 1.09331, 0.00164793, 0.104498
71, 1.08473, 0.00165073, 0.106148
72, 1.07666, 0.00165408, 0.107802
73, 1.0683, 0.00165672, 0.109459
74, 1.06021, 0.00165954, 0.111119
75, 1.05262, 0.00166292, 0.112782
76, 1.04458, 0.00166535, 0.114447
77, 1.03695, 0.0016682, 0.116115
78, 1.02968, 0.00167144, 0.117787
79, 1.02205, 0.00167383, 0.11946
80, 1.01484, 0.00167672, 0.121137
81, 1.00784, 0.00167974, 0.122817
82, 1.00061, 0.00168217, 0.124499
83, 0.993795, 0.0016851, 0.126184
84, 0.987027, 0.0016879, 0.127872
85, 0.980181, 0.00169037, 0.129562
86, 0.973735, 0.00169334, 0.131256
87, 0.96718, 0.00169593, 0.132952
88, 0.960691, 0.00169844, 0.13465
89, 0.954587, 0.00170146, 0.136352
90, 0.948227, 0.00170384, 0.138055
91, 0.94207, 0.0017064, 0.139762
92, 0.936287, 0.00170947, 0.141471
93, 0.930102, 0.00171162, 0.143183
94, 0.924257, 0.00171423, 0.144897
95, 0.918635, 0.0017171, 0.146614
96, 0.912751, 0.0017193, 0.148334
97, 0.907199, 0.00172196, 0.150055
98, 0.901721, 0.00172461, 0.15178
99, 0.896122, 0.00172686, 0.153507
100, 0.890845, 0.00172958, 0.155237
101, 0.885499, 0.00173202, 0.156969
102, 0.880167, 0.00173432, 0.158703
103, 0.87515, 0.00173711, 0.16044
104, 0.869923, 0.00173932, 0.162179
105, 0.864844, 0.00174169, 0.163921
106, 0.860073, 0.00174454, 0.165666
107, 0.854954, 0.00174653, 0.167412
108, 0.850114, 0.00174896, 0.169161
109, 0.845444, 0.0017516, 0.170913
110, 0.840556, 0.00175365, 0.172666
111, 0.835943, 0.00175615, 0.174422
112, 0.831362, 0.00175858, 0.176181
113, 0.826695, 0.00176069, 0.177942
114, 0.822297, 0.00176325, 0.179705
115, 0.817799, 0.00176546, 0.18147
116, 0.813341, 0.00176763, 0.183238
117, 0.809148, 0.00177027, 0.185008
118, 0.804724, 0.00177226, 0.186781
119, 0.800467, 0.0017745, 0.188555
120, 0.796421, 0.0017771, 0.190332
121, 0.79212, 0.00177899, 0.192111
122, 0.788065, 0.0017813, 0.193892
123, 0.784108, 0.00178368, 0.195676
124, 0.780055, 0.00178564, 0.197462
125, 0.776319, 0.00178802, 0.19925
126, 0.772715, 0.00179019, 0.20104
127, 0.769454, 0.00179222, 0.202832
128, 0.767127, 0.00179468, 0.204627
129, 0.76595, 0.00179664, 0.206424
130, 0.767183, 0.00179873, 0.208222
131, 0.772376, 0.00180124, 0.210024
132, 0.78275, 0.00180301, 0.211827
133, 0.800239, 0.00180519, 0.213632
134, 0.824984, 0.0018075, 0.215439
135, 0.854863, 0.00180936, 0.217249
136, 0.886193, 0.00181171, 0.21906
137, 0.913423, 0.00181387, 0.220874
138, 0.931969, 0.00181626, 0.22269
139, 0.938996, 0.00181917, 0.22451
140, 0.933939, 0.00182302, 0.226333
141, 0.917733, 0.00182744, 0.22816
142, 0.893075, 0.00183334, 0.229993
143, 0.862724, 0.00184076, 0.231834
144, 0.829145, 0.00184907, 0.233683
145, 0.794649, 0.00185798, 0.235541
146, 0.761445, 0.00186816, 0.237409
147, 0.730872, 0.00187947, 0.239289
148, 0.703214, 0.00189019, 0.241179
149, 0.679702, 0.00190228, 0.243081
150, 0.659972, 0.00191439, 0.244996
151, 0.643988, 0.00192671, 0.246922
152, 0.631733, 0.00194008, 0.248862
153, 0.622185, 0.00195259, 0.250815
154, 0.615724, 0.00196674, 0.252782
155, 0.611006, 0.00197965, 0.254761
156, 0.608476, 0.001994, 0.256755
157, 0.607157, 0.00200776, 0.258763
158, 0.607197, 0.00202238, 0.260786
159, 0.608043, 0.00203687, 0.262822
160, 0.609679, 0.00205184, 0.264874
161, 0.611849, 0.00206697, 0.266941
162, 0.614455, 0.00208239, 0.269024
163, 0.617373, 0.00209807, 0.271122
164, 0.620583, 0.00211406, 0.273236
165, 0.623932, 0.00213021, 0.275366
166, 0.627458, 0.00214692, 0.277513
167, 0.631013, 0.00216348, 0.279676
168, 0.634831, 0.00218105, 0.281857
169, 0.63835, 0.00219795, 0.284055
170, 0.642384, 0.00221658, 0.286272
171, 0.645919, 0.00223375, 0.288506
172, 0.649792, 0.00225274, 0.290758
173, 0.653452, 0.00227105, 0.29303
174, 0.657304, 0.00229025, 0.29532
175, 0.661087, 0.00231007, 0.29763
176, 0.664653, 0.00232941, 0.299959
177, 0.668663, 0.00235034, 0.30231
178, 0.672215, 0.00237049, 0.30468
179, 0.667982, 0.00236344, 0.307044
180, 0.663248, 0.00235419, 0.309398
181, 0.658328, 0.002344, 0.311742
182, 0.653768, 0.00233555, 0.314077
183, 0.648705, 0.0023253, 0.316403
184, 0.644294, 0.00231695, 0.318719
185, 0.639543, 0.00230733, 0.321027
186, 0.634963, 0.00229873, 0.323326
187, 0.630392, 0.00229005, 0.325616
188, 0.625876, 0.00228118, 0.327897
189, 0.621639, 0.00227341, 0.33017
190, 0.616965, 0.00226431, 0.332435
191, 0.612728, 0.00225666, 0.334691
192, 0.608319, 0.00224807, 0.336939
193, 0.60405, 0.00224005, 0.339179
194, 0.599839, 0.00223243, 0.341412
195, 0.595468, 0.00222407, 0.343636
